,fct_name,return_type,e_name,arg_pos,arg_type,arg_name
0,cblas_sdsdot,float,sdsdot,0,const int,N
1,cblas_sdsdot,float,sdsdot,1,const float,alpha
2,cblas_sdsdot,float,sdsdot,2,const float*,X
3,cblas_sdsdot,float,sdsdot,3,const int,incX
4,cblas_sdsdot,float,sdsdot,4,const float*,Y
5,cblas_sdsdot,float,sdsdot,5,const int,incY
6,cblas_dsdot,double,dsdot,0,const int,N
7,cblas_dsdot,double,dsdot,1,const float*,X
8,cblas_dsdot,double,dsdot,2,const int,incX
9,cblas_dsdot,double,dsdot,3,const float*,Y
10,cblas_dsdot,double,dsdot,4,const int,incY
11,cblas_sdot,float,sdot,0,const int,N
12,cblas_sdot,float,sdot,1,const float*,X
13,cblas_sdot,float,sdot,2,const int,incX
14,cblas_sdot,float,sdot,3,const float*,Y
15,cblas_sdot,float,sdot,4,const int,incY
16,cblas_ddot,double,ddot,0,const int,N
17,cblas_ddot,double,ddot,1,const double*,X
18,cblas_ddot,double,ddot,2,const int,incX
19,cblas_ddot,double,ddot,3,const double*,Y
20,cblas_ddot,double,ddot,4,const int,incY
21,cblas_cdotu_sub,void,cdotu,0,const int,N
22,cblas_cdotu_sub,void,cdotu,1,const void*,X
23,cblas_cdotu_sub,void,cdotu,2,const int,incX
24,cblas_cdotu_sub,void,cdotu,3,const void*,Y
25,cblas_cdotu_sub,void,cdotu,4,const int,incY
26,cblas_cdotu_sub,void,cdotu,5,void*,dotu
27,cblas_cdotc_sub,void,cdotc,0,const int,N
28,cblas_cdotc_sub,void,cdotc,1,const void*,X
29,cblas_cdotc_sub,void,cdotc,2,const int,incX
30,cblas_cdotc_sub,void,cdotc,3,const void*,Y
31,cblas_cdotc_sub,void,cdotc,4,const int,incY
32,cblas_cdotc_sub,void,cdotc,5,void*,dotc
33,cblas_zdotu_sub,void,zdotu,0,const int,N
34,cblas_zdotu_sub,void,zdotu,1,const void*,X
35,cblas_zdotu_sub,void,zdotu,2,const int,incX
36,cblas_zdotu_sub,void,zdotu,3,const void*,Y
37,cblas_zdotu_sub,void,zdotu,4,const int,incY
38,cblas_zdotu_sub,void,zdotu,5,void*,dotu
39,cblas_zdotc_sub,void,zdotc,0,const int,N
40,cblas_zdotc_sub,void,zdotc,1,const void*,X
41,cblas_zdotc_sub,void,zdotc,2,const int,incX
42,cblas_zdotc_sub,void,zdotc,3,const void*,Y
43,cblas_zdotc_sub,void,zdotc,4,const int,incY
44,cblas_zdotc_sub,void,zdotc,5,void*,dotc
45,cblas_snrm2,float,snrm2,0,const int,N
46,cblas_snrm2,float,snrm2,1,const float*,X
47,cblas_snrm2,float,snrm2,2,const int,incX
48,cblas_sasum,float,sasum,0,const int,N
49,cblas_sasum,float,sasum,1,const float*,X
50,cblas_sasum,float,sasum,2,const int,incX
51,cblas_dnrm2,double,dnrm2,0,const int,N
52,cblas_dnrm2,double,dnrm2,1,const double*,X
53,cblas_dnrm2,double,dnrm2,2,const int,incX
54,cblas_dasum,double,dasum,0,const int,N
55,cblas_dasum,double,dasum,1,const double*,X
56,cblas_dasum,double,dasum,2,const int,incX
57,cblas_scnrm2,float,scnrm2,0,const int,N
58,cblas_scnrm2,float,scnrm2,1,const void*,X
59,cblas_scnrm2,float,scnrm2,2,const int,incX
60,cblas_scasum,float,scasum,0,const int,N
61,cblas_scasum,float,scasum,1,const void*,X
62,cblas_scasum,float,scasum,2,const int,incX
