	fct_name	return_type	e_name	arg_pos	arg_type	arg_name
2	cblas_sdsdot	float	sdsdot	2	const float*	X
4	cblas_sdsdot	float	sdsdot	4	const float*	Y
7	cblas_dsdot	double	dsdot	1	const float*	X
9	cblas_dsdot	double	dsdot	3	const float*	Y
12	cblas_sdot	float	sdot	1	const float*	X
14	cblas_sdot	float	sdot	3	const float*	Y
17	cblas_ddot	double	ddot	1	const double*	X
19	cblas_ddot	double	ddot	3	const double*	Y
22	cblas_cdotu_sub	void	cdotu	1	const void*	X
24	cblas_cdotu_sub	void	cdotu	3	const void*	Y
26	cblas_cdotu_sub	void	cdotu	5	void*	dotu
28	cblas_cdotc_sub	void	cdotc	1	const void*	X
30	cblas_cdotc_sub	void	cdotc	3	const void*	Y
32	cblas_cdotc_sub	void	cdotc	5	void*	dotc
34	cblas_zdotu_sub	void	zdotu	1	const void*	X
36	cblas_zdotu_sub	void	zdotu	3	const void*	Y
38	cblas_zdotu_sub	void	zdotu	5	void*	dotu
40	cblas_zdotc_sub	void	zdotc	1	const void*	X
42	cblas_zdotc_sub	void	zdotc	3	const void*	Y
44	cblas_zdotc_sub	void	zdotc	5	void*	dotc
46	cblas_snrm2	float	snrm2	1	const float*	X
49	cblas_sasum	float	sasum	1	const float*	X
52	cblas_dnrm2	double	dnrm2	1	const double*	X
55	cblas_dasum	double	dasum	1	const double*	X
58	cblas_scnrm2	float	scnrm2	1	const void*	X
61	cblas_scasum	float	scasum	1	const void*	X
64	cblas_dznrm2	double	dznrm2	1	const void*	X
67	cblas_dzasum	double	dzasum	1	const void*	X
70	cblas_isamax	CBLAS_INDEX	isamax	1	const float*	X
73	cblas_idamax	CBLAS_INDEX	idamax	1	const double*	X
76	cblas_icamax	CBLAS_INDEX	icamax	1	const void*	X
79	cblas_izamax	CBLAS_INDEX	izamax	1	const void*	X
82	cblas_sswap	void	sswap	1	float*	X
84	cblas_sswap	void	sswap	3	float*	Y
87	cblas_scopy	void	scopy	1	const float*	X
89	cblas_scopy	void	scopy	3	float*	Y
93	cblas_saxpy	void	saxpy	2	const float*	X
95	cblas_saxpy	void	saxpy	4	float*	Y
98	cblas_dswap	void	dswap	1	double*	X
100	cblas_dswap	void	dswap	3	double*	Y
103	cblas_dcopy	void	dcopy	1	const double*	X
105	cblas_dcopy	void	dcopy	3	double*	Y
109	cblas_daxpy	void	daxpy	2	const double*	X
111	cblas_daxpy	void	daxpy	4	double*	Y
114	cblas_cswap	void	cswap	1	void*	X
116	cblas_cswap	void	cswap	3	void*	Y
119	cblas_ccopy	void	ccopy	1	const void*	X
121	cblas_ccopy	void	ccopy	3	void*	Y
124	cblas_caxpy	void	caxpy	1	const void*	alpha
125	cblas_caxpy	void	caxpy	2	const void*	X
127	cblas_caxpy	void	caxpy	4	void*	Y
130	cblas_zswap	void	zswap	1	void*	X
132	cblas_zswap	void	zswap	3	void*	Y
135	cblas_zcopy	void	zcopy	1	const void*	X
137	cblas_zcopy	void	zcopy	3	void*	Y
140	cblas_zaxpy	void	zaxpy	1	const void*	alpha
141	cblas_zaxpy	void	zaxpy	2	const void*	X
143	cblas_zaxpy	void	zaxpy	4	void*	Y
145	cblas_srotg	void	srotg	0	float*	a
146	cblas_srotg	void	srotg	1	float*	b
147	cblas_srotg	void	srotg	2	float*	c
148	cblas_srotg	void	srotg	3	float*	s
149	cblas_srotmg	void	srotmg	0	float*	d1
150	cblas_srotmg	void	srotmg	1	float*	d2
151	cblas_srotmg	void	srotmg	2	float*	b1
153	cblas_srotmg	void	srotmg	4	float*	P
155	cblas_srot	void	srot	1	float*	X
157	cblas_srot	void	srot	3	float*	Y
162	cblas_srotm	void	srotm	1	float*	X
164	cblas_srotm	void	srotm	3	float*	Y
166	cblas_srotm	void	srotm	5	const float*	P
167	cblas_drotg	void	drotg	0	double*	a
168	cblas_drotg	void	drotg	1	double*	b
169	cblas_drotg	void	drotg	2	double*	c
170	cblas_drotg	void	drotg	3	double*	s
171	cblas_drotmg	void	drotmg	0	double*	d1
172	cblas_drotmg	void	drotmg	1	double*	d2
173	cblas_drotmg	void	drotmg	2	double*	b1
175	cblas_drotmg	void	drotmg	4	double*	P
177	cblas_drot	void	drot	1	double*	X
179	cblas_drot	void	drot	3	double*	Y
184	cblas_drotm	void	drotm	1	double*	X
186	cblas_drotm	void	drotm	3	double*	Y
188	cblas_drotm	void	drotm	5	const double*	P
191	cblas_sscal	void	sscal	2	float*	X
195	cblas_dscal	void	dscal	2	double*	X
198	cblas_cscal	void	cscal	1	const void*	alpha
199	cblas_cscal	void	cscal	2	void*	X
202	cblas_zscal	void	zscal	1	const void*	alpha
203	cblas_zscal	void	zscal	2	void*	X
207	cblas_csscal	void	csscal	2	void*	X
211	cblas_zdscal	void	zdscal	2	void*	X
218	cblas_sgemv	void	sgemv	5	const float*	A
220	cblas_sgemv	void	sgemv	7	const float*	X
223	cblas_sgemv	void	sgemv	10	float*	Y
232	cblas_sgbmv	void	sgbmv	7	const float*	A
234	cblas_sgbmv	void	sgbmv	9	const float*	X
237	cblas_sgbmv	void	sgbmv	12	float*	Y
244	cblas_strmv	void	strmv	5	const float*	A
246	cblas_strmv	void	strmv	7	float*	X
254	cblas_stbmv	void	stbmv	6	const float*	A
256	cblas_stbmv	void	stbmv	8	float*	X
263	cblas_stpmv	void	stpmv	5	const float*	Ap
264	cblas_stpmv	void	stpmv	6	float*	X
271	cblas_strsv	void	strsv	5	const float*	A
273	cblas_strsv	void	strsv	7	float*	X
281	cblas_stbsv	void	stbsv	6	const float*	A
283	cblas_stbsv	void	stbsv	8	float*	X
290	cblas_stpsv	void	stpsv	5	const float*	Ap
291	cblas_stpsv	void	stpsv	6	float*	X
298	cblas_dgemv	void	dgemv	5	const double*	A
300	cblas_dgemv	void	dgemv	7	const double*	X
303	cblas_dgemv	void	dgemv	10	double*	Y
312	cblas_dgbmv	void	dgbmv	7	const double*	A
314	cblas_dgbmv	void	dgbmv	9	const double*	X
317	cblas_dgbmv	void	dgbmv	12	double*	Y
324	cblas_dtrmv	void	dtrmv	5	const double*	A
326	cblas_dtrmv	void	dtrmv	7	double*	X
334	cblas_dtbmv	void	dtbmv	6	const double*	A
336	cblas_dtbmv	void	dtbmv	8	double*	X
343	cblas_dtpmv	void	dtpmv	5	const double*	Ap
344	cblas_dtpmv	void	dtpmv	6	double*	X
351	cblas_dtrsv	void	dtrsv	5	const double*	A
353	cblas_dtrsv	void	dtrsv	7	double*	X
361	cblas_dtbsv	void	dtbsv	6	const double*	A
363	cblas_dtbsv	void	dtbsv	8	double*	X
370	cblas_dtpsv	void	dtpsv	5	const double*	Ap
371	cblas_dtpsv	void	dtpsv	6	double*	X
377	cblas_cgemv	void	cgemv	4	const void*	alpha
378	cblas_cgemv	void	cgemv	5	const void*	A
380	cblas_cgemv	void	cgemv	7	const void*	X
382	cblas_cgemv	void	cgemv	9	const void*	beta
383	cblas_cgemv	void	cgemv	10	void*	Y
391	cblas_cgbmv	void	cgbmv	6	const void*	alpha
392	cblas_cgbmv	void	cgbmv	7	const void*	A
394	cblas_cgbmv	void	cgbmv	9	const void*	X
396	cblas_cgbmv	void	cgbmv	11	const void*	beta
397	cblas_cgbmv	void	cgbmv	12	void*	Y
404	cblas_ctrmv	void	ctrmv	5	const void*	A
406	cblas_ctrmv	void	ctrmv	7	void*	X
414	cblas_ctbmv	void	ctbmv	6	const void*	A
416	cblas_ctbmv	void	ctbmv	8	void*	X
423	cblas_ctpmv	void	ctpmv	5	const void*	Ap
424	cblas_ctpmv	void	ctpmv	6	void*	X
431	cblas_ctrsv	void	ctrsv	5	const void*	A
433	cblas_ctrsv	void	ctrsv	7	void*	X
441	cblas_ctbsv	void	ctbsv	6	const void*	A
443	cblas_ctbsv	void	ctbsv	8	void*	X
450	cblas_ctpsv	void	ctpsv	5	const void*	Ap
451	cblas_ctpsv	void	ctpsv	6	void*	X
457	cblas_zgemv	void	zgemv	4	const void*	alpha
458	cblas_zgemv	void	zgemv	5	const void*	A
460	cblas_zgemv	void	zgemv	7	const void*	X
462	cblas_zgemv	void	zgemv	9	const void*	beta
463	cblas_zgemv	void	zgemv	10	void*	Y
471	cblas_zgbmv	void	zgbmv	6	const void*	alpha
472	cblas_zgbmv	void	zgbmv	7	const void*	A
474	cblas_zgbmv	void	zgbmv	9	const void*	X
476	cblas_zgbmv	void	zgbmv	11	const void*	beta
477	cblas_zgbmv	void	zgbmv	12	void*	Y
484	cblas_ztrmv	void	ztrmv	5	const void*	A
486	cblas_ztrmv	void	ztrmv	7	void*	X
494	cblas_ztbmv	void	ztbmv	6	const void*	A
496	cblas_ztbmv	void	ztbmv	8	void*	X
503	cblas_ztpmv	void	ztpmv	5	const void*	Ap
504	cblas_ztpmv	void	ztpmv	6	void*	X
511	cblas_ztrsv	void	ztrsv	5	const void*	A
513	cblas_ztrsv	void	ztrsv	7	void*	X
521	cblas_ztbsv	void	ztbsv	6	const void*	A
523	cblas_ztbsv	void	ztbsv	8	void*	X
