,0,0
0,sdsdot,
1,dsdot,
2,sdot,
3,ddot,
4,cdotu,
5,cdotc,
6,zdotu,
7,zdotc,
8,snrm2,
9,sasum,
10,dnrm2,
11,dasum,
12,scnrm2,
13,scasum,
14,dznrm2,
15,dzasum,
16,isamax,
17,idamax,
18,icamax,
19,izamax,
20,sswap,
21,scopy,
22,saxpy,
23,dswap,
24,dcopy,
25,daxpy,
26,cswap,
27,ccopy,
28,caxpy,
29,zswap,
30,zcopy,
31,zaxpy,
32,srotg,
33,srotmg,
34,srot,
35,srotm,
36,drotg,
37,drotmg,
38,drot,
39,drotm,
40,sscal,
41,dscal,
42,cscal,
43,zscal,
44,csscal,
45,zdscal,
46,sgemv,ge
47,sgbmv,gb
48,strmv,tr
49,stbmv,tb
50,stpmv,tp
51,strsv,tr
52,stbsv,tb
53,stpsv,tp
54,dgemv,ge
55,dgbmv,gb
56,dtrmv,tr
57,dtbmv,tb
58,dtpmv,tp
59,dtrsv,tr
60,dtbsv,tb
61,dtpsv,tp
62,cgemv,ge
63,cgbmv,gb
64,ctrmv,tr
65,ctbmv,tb
66,ctpmv,tp
67,ctrsv,tr
68,ctbsv,tb
69,ctpsv,tp
70,zgemv,ge
71,zgbmv,gb
72,ztrmv,tr
73,ztbmv,tb
74,ztpmv,tp
75,ztrsv,tr
76,ztbsv,tb
77,ztpsv,tp
78,ssymv,sy
79,ssbmv,sb
80,sspmv,sp
81,sger,ge
82,ssyr,sy
83,sspr,sp
84,ssyr2,sy
85,sspr2,sp
86,dsymv,sy
87,dsbmv,sb
88,dspmv,sp
89,dger,ge
90,dsyr,sy
91,dspr,sp
92,dsyr2,sy
93,dspr2,sp
94,chemv,he
95,chbmv,hb
96,chpmv,hp
97,cgeru,ge
98,cgerc,ge
99,cher,he
100,chpr,hp
101,cher2,he
102,chpr2,hp
103,zhemv,he
104,zhbmv,hb
105,zhpmv,hp
106,zgeru,ge
107,zgerc,ge
108,zher,he
109,zhpr,hp
110,zher2,he
111,zhpr2,hp
112,sgemm,ge
113,ssymm,sy
114,ssyrk,sy
115,ssyr2k,sy
116,strmm,tr
117,strsm,tr
118,dgemm,ge
119,dsymm,sy
120,dsyrk,sy
121,dsyr2k,sy
122,dtrmm,tr
123,dtrsm,tr
124,cgemm,ge
125,csymm,sy
126,csyrk,sy
127,csyr2k,sy
128,ctrmm,tr
129,ctrsm,tr
130,zgemm,ge
131,zsymm,sy
132,zsyrk,sy
133,zsyr2k,sy
134,ztrmm,tr
135,ztrsm,tr
136,chemm,he
137,cherk,he
138,cher2k,he
139,zhemm,he
140,zherk,he
141,zher2k,he
142,sbdsdc,bd
143,dbdsdc,bd
144,sbdsqr,bd
145,dbdsqr,bd
146,cbdsqr,bd
147,zbdsqr,bd
148,sdisna,di
149,ddisna,di
150,sgbbrd,gb
151,dgbbrd,gb
152,cgbbrd,gb
153,zgbbrd,gb
154,sgbcon,gb
155,dgbcon,gb
156,cgbcon,gb
157,zgbcon,gb
158,sgbequ,gb
159,dgbequ,gb
160,cgbequ,gb
161,zgbequ,gb
162,sgbequb,gb
163,dgbequb,gb
164,cgbequb,gb
165,zgbequb,gb
166,sgbrfs,gb
167,dgbrfs,gb
168,cgbrfs,gb
169,zgbrfs,gb
170,sgbsv,gb
171,dgbsv,gb
172,cgbsv,gb
173,zgbsv,gb
174,sgbtrf,gb
175,dgbtrf,gb
176,cgbtrf,gb
177,zgbtrf,gb
178,sgbtrs,gb
179,dgbtrs,gb
180,cgbtrs,gb
181,zgbtrs,gb
182,sgebak,ge
183,dgebak,ge
184,cgebak,ge
185,zgebak,ge
186,sgebal,ge
187,dgebal,ge
188,cgebal,ge
189,zgebal,ge
190,sgebrd,ge
191,dgebrd,ge
192,cgebrd,ge
193,zgebrd,ge
194,sgecon,ge
195,dgecon,ge
196,cgecon,ge
197,zgecon,ge
198,sgeequ,ge
199,dgeequ,ge
200,cgeequ,ge
201,zgeequ,ge
202,sgeequb,ge
203,dgeequb,ge
204,cgeequb,ge
205,zgeequb,ge
206,sgeev,ge
207,dgeev,ge
208,cgeev,ge
209,zgeev,ge
210,sgeevx,ge
211,dgeevx,ge
212,cgeevx,ge
213,zgeevx,ge
214,sgehrd,ge
215,dgehrd,ge
216,cgehrd,ge
217,zgehrd,ge
218,sgejsv,ge
219,dgejsv,ge
220,sgelqf,ge
221,dgelqf,ge
222,cgelqf,ge
223,zgelqf,ge
224,sgels,ge
225,dgels,ge
226,cgels,ge
227,zgels,ge
228,sgelsd,ge
229,dgelsd,ge
230,cgelsd,ge
231,zgelsd,ge
232,sgelss,ge
233,dgelss,ge
234,cgelss,ge
235,zgelss,ge
236,sgelsy,ge
237,dgelsy,ge
238,cgelsy,ge
