,fct_name,return_type,e_name,arg_pos,arg_type,arg_name
0,LAPACKE_sbdsdc,lapack_int,sbdsdc,0,int,matrix_layout
1,LAPACKE_sbdsdc,lapack_int,sbdsdc,1,char,uplo
2,LAPACKE_sbdsdc,lapack_int,sbdsdc,2,char,compq
3,LAPACKE_sbdsdc,lapack_int,sbdsdc,3,lapack_int,n
4,LAPACKE_sbdsdc,lapack_int,sbdsdc,4,float*,d
5,LAPACKE_sbdsdc,lapack_int,sbdsdc,5,float*,e
6,LAPACKE_sbdsdc,lapack_int,sbdsdc,6,float*,u
7,LAPACKE_sbdsdc,lapack_int,sbdsdc,7,lapack_int,ldu
8,LAPACKE_sbdsdc,lapack_int,sbdsdc,8,float*,vt
9,LAPACKE_sbdsdc,lapack_int,sbdsdc,9,lapack_int,ldvt
10,LAPACKE_sbdsdc,lapack_int,sbdsdc,10,float*,q
11,LAPACKE_sbdsdc,lapack_int,sbdsdc,11,lapack_int*,iq
12,LAPACKE_dbdsdc,lapack_int,dbdsdc,0,int,matrix_layout
13,LAPACKE_dbdsdc,lapack_int,dbdsdc,1,char,uplo
14,LAPACKE_dbdsdc,lapack_int,dbdsdc,2,char,compq
15,LAPACKE_dbdsdc,lapack_int,dbdsdc,3,lapack_int,n
16,LAPACKE_dbdsdc,lapack_int,dbdsdc,4,double*,d
17,LAPACKE_dbdsdc,lapack_int,dbdsdc,5,double*,e
18,LAPACKE_dbdsdc,lapack_int,dbdsdc,6,double*,u
19,LAPACKE_dbdsdc,lapack_int,dbdsdc,7,lapack_int,ldu
20,LAPACKE_dbdsdc,lapack_int,dbdsdc,8,double*,vt
21,LAPACKE_dbdsdc,lapack_int,dbdsdc,9,lapack_int,ldvt
22,LAPACKE_dbdsdc,lapack_int,dbdsdc,10,double*,q
23,LAPACKE_dbdsdc,lapack_int,dbdsdc,11,lapack_int*,iq
24,LAPACKE_sbdsqr,lapack_int,sbdsqr,0,int,matrix_layout
25,LAPACKE_sbdsqr,lapack_int,sbdsqr,1,char,uplo
26,LAPACKE_sbdsqr,lapack_int,sbdsqr,2,lapack_int,n
